epoch,train_loss,val_loss,train_acc,val_acc
1,0.648339033126831,0.5894473791122437,0.6438290476799011,0.7784145474433899
2,0.5781519412994385,0.5411380529403687,0.7701122164726257,0.8242598176002502
3,0.5431854128837585,0.5089665651321411,0.7968488931655884,0.8242598176002502
4,0.5197571516036987,0.4910130798816681,0.8028169274330139,0.8108882308006287
5,0.493437796831131,0.4551483988761902,0.8116495609283447,0.813753604888916
6,0.4690728187561035,0.427440345287323,0.8183337450027466,0.8395415544509888
7,0.44177407026290894,0.3997196555137634,0.831940770149231,0.8605539798736572
8,0.41924208402633667,0.40862396359443665,0.8383862376213074,0.8366762399673462
9,0.39960503578186035,0.39989322423934937,0.843876838684082,0.8338108658790588
10,0.38591569662094116,0.35378894209861755,0.8479350805282593,0.8662846088409424
